№;Контекст;Русский;English;Español
1;AboutScreen;Модуль управления и связи;Communication module;Módulo de comunicación
2;AboutScreen;Модуль аргоновый;Argon module;Módulo de argón
3;AboutScreen;Модуль генератора;Generator;GENERADOR
4;AboutScreen;МК раскачки;Driver MCU;MCU del excitador
5;AboutScreen;МК нейтрального электрода;Neutral electrode MCU;MCU del electrodo neutro
6;AboutScreen;Не указано;Not specified;No especificado
7;AboutScreen;Об аппарате;About the unit;Acerca del equipo
8;AboutScreen;Тип аппарата;Unit type;Tipo de equipo
9;AboutScreen;Серийный номер;Serial number;Número de serie
10;AboutScreen;Комментарии;Comments;Comentarios
11;AboutScreen;Версия приложения;Application version;Versión de la aplicación
12;AboutScreen;Версии ПО модулей;Module firmware versions;Versiones de firmware de los módulos
13;AboutScreen;Загрузчик;Bootloader;Cargador de arranque
14;AboutScreen;Рабочая прошивка;Main firmware;Firmware principal
15;AboutScreen;Назад;back;atrás
16;Activation;АКТИВАЦИЯ ;ACTIVATION ;ACTIVACIÓN 
17;Activation;Мощность;Power;Potencia
18;Activation;"Эффект
резания";"Cut
eff.";"Corte
ef."
19;Activation;"Эффект
коагуляции";"Coag
eff.";"Coag
ef."
20;Argon;РАСХОД АРГОНА;ARGON FLOW;FLUJO DE ARGÓN
21;Argon;АРГОН;ARGON;ARGÓN
22;Argon;л/мин;l/min;l/min
23;Argon;ПРОДУТЬ;BLOW OUT;PURGAR
24;ArgonDrawer;НАСТРОЙКА ГАЗОВОГО ТРАКТА;GAS LINE SETUP;AJUSTE DEL CIRCUITO DE GAS
25;ArgonDrawer;X;X;X
26;DateTimeController;Не удалось запустить timedatectl;Failed to start timedatectl;No se pudo iniciar timedatectl
27;DateTimeController;timedatectl не завершился за отведённое время;timedatectl did not finish in time;timedatectl no terminó a tiempo
28;DateTimeController;timedatectl завершился с ошибкой;timedatectl finished with an error;timedatectl terminó con un error
29;DateTimeController;Некорректная дата или время;Invalid date or time;Fecha u hora no válidas
30;DateTimeSettings;Не сохранено;Not saved;No guardado
31;DateTimeSettings;Проверьте дату и время;Check the date and time;Compruebe la fecha y la hora
32;DateTimeSettings;Текущее время загружено;Current time loaded;Hora actual cargada
33;DateTimeSettings;Контроллер даты и времени недоступен;Date and time controller unavailable;Controlador de fecha y hora no disponible
34;DateTimeSettings;Дата и время сохранены;Date and time saved;Fecha y hora guardadas
35;DateTimeSettings;НАСТРОЙКА ДАТЫ И ВРЕМЕНИ;DATE AND TIME;FECHA Y HORA
36;DateTimeSettings;ТЕКУЩЕЕ СИСТЕМНОЕ ВРЕМЯ;CURRENT SYSTEM TIME;HORA ACTUAL DEL SISTEMA
37;DateTimeSettings;Недоступно;Unavailable;No disponible
38;DateTimeSettings;ГОД;YEAR;AÑO
39;DateTimeSettings;МЕСЯЦ;MONTH;MES
40;DateTimeSettings;ДЕНЬ;DAY;DÍA
41;DateTimeSettings;ЧАСЫ;HOURS;HORAS
42;DateTimeSettings;МИНУТЫ;MINUTES;MINUTOS
43;DateTimeSettings;СЕКУНДЫ;SECONDS;SEGUNDOS
44;DateTimeSettings;НАЗАД;BACK;ATRÁS
45;DateTimeSettings;ТЕКУЩЕЕ;CURRENT;ACTUAL
46;DateTimeSettings;СОХРАНИТЬ;SAVE;GUARDAR
47;DummySocket;Другой инструмент;Other electrode;Otro electrodo
48;EndoChart;рез;cut;corte
49;EndoChart;коаг;coag;coag
50;FullSocketEditor;Другой инструмент;Other electrode;Otro electrodo
51;FullSocketEditor;Подача импульсов СРЕДНЯЯ;MEDIUM pulse rate;Pulso MEDIO
52;FullSocketEditor;Подача импульсов РЕДКАЯ;SLOW pulse rate;Pulso LENTO
53;FullSocketEditor;Подача импульсов ЧАСТАЯ;FAST pulse rate;Pulso RÁPIDO
54;FullSocketEditor;РЕЗАНИЕ;CUT;CORTE
55;FullSocketEditor;ВЫХОД %1;OUTPUT %1;SALIDA %1
56;FullSocketEditor;ВЫХОД;OUTPUT;SALIDA
57;FullSocketEditor;КОАГУЛЯЦИЯ;COAGULATION;COAGULACIÓN
58;FullSocketEditor;Выберите;Select;Seleccione
59;FullSocketEditor;режим;mode;modo
60;FullSocketEditor;инструмент;electrode;electrodo
61;FullSocketEditor;Установите;Set;Ajuste
62;FullSocketEditor;мощность;power;potencia
63;FullSocketEditor;ОТМЕНА;CANCEL;CANCELAR
64;FullSocketEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
65;FullSocketInstrButton;Другой инструмент;Other electrode;Otro electrodo
66;FullSocketModeButton;Выберите режим;SELECT A MODE;SELECCIONA UN MODO
67;FullSocketPowerRow;−;−;−
68;FullSocketPowerRow;+;+;+
69;FullSocketPowerRow;эффект резания;cut eff.;cort ef.
70;FullSocketPowerRow;эффект коагуляции;coag eff.;coag ef.
71;FullSocketSidePanel;АВТОСТОП;AUTOSTOP;AUTOSTOP
72;FullSocketSidePanel;"В режиме АВТОСТОП инструмент активируется с помощью педали.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa mediante un interruptor de pie. El proceso se detiene automáticamente cuando se completa la coagulación.
73;FullSocketSidePanel;АВТОСТАРТ/СТОП;AUTO-START-STOP;AUTO-START-STOP
74;FullSocketSidePanel;В режиме АВТОСТАРТ/СТОП активация происходит автоматически без нажатия педали!;In AUTO-START-STOP mode activation occurs automatically without any footswitch actions!;¡En el modo AUTO-START-STOP, la activación se produce automáticamente sin ninguna acción del interruptor de pie!
75;FullSocketSidePanel;"В режиме АВТОСТОП инструмент активируется с помощью педали или держателя инструментов.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch or handle button. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa con el interruptor de pie o el botón del mango. El proceso se detiene automáticamente cuando se completa la coagulación.
76;FullSocketSidePanel;Задержка автозапуска;Autostart delay;Retardo de autoarranque
77;FullSocketSidePanel;"0
сек";"0
s";"0
s"
78;FullSocketSidePanel;"0.5
сек";"0.5
s";"0.5
s"
